iter	Passed	Remaining
0	0	332
1	1	279
2	1	271
3	2	262
4	2	257
5	3	267
6	5	367
7	5	349
8	6	335
9	6	322
10	6	309
11	7	300
12	7	293
13	8	289
14	8	287
15	9	282
16	9	281
17	10	275
18	10	273
19	11	272
20	11	263
21	12	262
22	12	258
23	13	258
24	13	256
25	13	254
26	14	251
27	14	248
28	15	246
29	15	245
30	16	242
31	16	241
32	16	239
33	17	238
34	18	239
35	18	239
36	19	239
37	19	240
38	20	241
39	20	240
40	21	240
41	22	239
42	22	240
43	23	240
44	23	239
45	24	238
46	24	238
47	25	237
48	25	236
49	26	236
50	26	236
51	27	236
52	27	235
53	28	237
54	29	237
55	29	236
56	30	236
57	31	236
58	31	235
59	31	233
60	32	234
61	33	234
62	33	233
63	34	233
64	35	237
65	36	236
66	36	236
67	37	235
68	37	234
69	38	233
70	38	233
71	39	232
72	39	231
73	40	230
74	40	230
75	41	229
76	41	228
77	42	228
78	42	227
79	43	226
80	43	225
81	43	223
82	44	223
83	45	223
84	45	221
85	45	221
86	46	220
87	46	219
88	47	218
89	47	218
90	48	218
91	49	218
92	49	217
93	50	218
94	51	217
95	51	217
96	52	216
97	52	216
98	53	215
99	53	214
100	54	214
101	54	213
102	55	213
103	55	212
104	56	211
105	56	211
106	57	210
107	57	210
108	58	210
109	59	210
110	59	209
111	60	209
112	61	209
113	61	209
114	62	208
115	62	207
116	63	207
117	64	207
118	65	208
119	65	207
120	67	210
121	67	209
122	68	208
123	68	207
124	68	206
125	69	205
126	69	204
127	70	203
128	70	202
129	70	201
130	71	200
131	71	199
132	72	198
133	72	197
134	72	196
135	73	195
136	73	194
137	73	193
138	74	193
139	74	192
140	75	192
141	76	191
142	76	190
143	77	190
144	77	189
145	78	189
146	78	188
147	79	188
148	79	187
149	80	187
150	80	186
151	81	185
152	81	185
153	82	184
154	82	184
155	83	183
156	83	182
157	83	181
158	84	180
159	84	180
160	85	179
161	85	178
162	86	178
163	86	177
164	87	176
